K11866	ko04144
K16009	ko00522 ko01052
K09069	ko05205
K06590	ko04151 ko04510 ko04512 ko04514 ko04672 ko04810 ko05165 ko05202 ko05410 ko05412 ko05414
K10948	ko05110
K03239	ko03013 ko05168
K01543	ko00190 ko04966 ko04971
K02741	ko03050
K04073	ko00360 ko00362 ko00620 ko00621 ko00622 ko00650
K10963	ko05111
K13400	ko00902
K16413	ko01052
K17692	ko05204
K01657	ko00400 ko00405 ko02024 ko02025
K15060	ko00627
K18018	ko04010
K04335	ko02026
K08678	ko00520
K01804	ko00040
K17399	ko00270 ko05206
K01906	ko00780
K13671	ko00571
K20378	ko02024
K12732	ko00360
K01137	ko00531 ko04142
K19642	ko00053
K00704	ko00052
K05709	ko00360
K08758	ko03320 ko04979
K14939	ko00981
K02459	ko03070 ko05111
K11511	ko03460
K13065	ko00940 ko00941 ko00945
K08398	ko04080 ko04926
K03505	ko03030 ko03410 ko03420 ko03430 ko03440
K10554	ko02010
K02120	ko00190
K01521	ko00564
K08055	ko04612 ko05163 ko05166 ko05168 ko05169 ko05170
K17631	ko04014
K12477	ko04144
K07792	ko02020
K18148	ko01501
K05208	ko04014 ko04015 ko04020 ko04024 ko04080 ko04713 ko04720 ko04724 ko05010 ko05014 ko05016 ko05017 ko05020 ko05022 ko05030 ko05031 ko05033 ko05034
K00510	ko00860 ko04066 ko04216 ko04978 ko05200 ko05206 ko05225 ko05418
K03379	ko00930
K09869	ko04976
K01625	ko00030 ko00630
K00845	ko00010 ko00052 ko00500 ko00520 ko00521 ko00524
K11694	ko00550
K20941	ko00362
K05267	ko04080
K01843	ko00310
K17962	ko04931
K00589	ko00860
K01348	ko04064 ko04610 ko05202 ko05205 ko05206 ko05215
K16186	ko04140 ko04150 ko05131
K04848	ko04261
K19067	ko00362
K17487	ko00790
K15233	ko00720
K14081	ko00680
K15842	ko05120
K12810	ko05130
K15946	ko01057
K19614	ko04310
K14217	ko05160
K19763	ko04212
K05160	ko04060
K06672	ko04111
K18276	ko00760
K07968	ko00510 ko00513 ko00514 ko00515 ko00533 ko00601
K12344	ko00140 ko05215
K15291	ko04721 ko04723
K18029	ko00760
K04868	ko04010 ko04260 ko04261 ko04921 ko05410 ko05412 ko05414
K07204	ko04136 ko04138 ko04140 ko04150 ko04151 ko04152 ko04211 ko04213 ko04714 ko04910 ko05131 ko05206
K15097	ko00902
K08024	ko04950 ko05202
K13486	ko02020
K00114	ko00010 ko00620 ko00625
K00090	ko00030 ko00260 ko00620 ko00630
K17909	ko04138
K13234	ko00945
K11618	ko02020
K10785	ko04014 ko04015 ko04020 ko04064 ko04514 ko04612 ko04658 ko04659 ko04660 ko04672 ko04940 ko05135 ko05142 ko05144 ko05150 ko05162 ko05166 ko05169 ko05170 ko05202 ko05235 ko05310 ko05320 ko05321 ko05322 ko05323 ko05330 ko05332 ko05416
K17012	ko05206
K04711	ko00600
K04405	ko04010
K21224	ko01059
K03368	ko00512 ko00533 ko00603 ko00604
K21664	ko05167 ko05203
K13778	ko00281
K20964	ko05111
K03267	ko03015
K07732	ko00740
K20503	ko00999
K03859	ko00563
K12643	ko01058
K12974	ko00540
K06684	ko04111 ko04392
K16058	ko04020
K10857	ko03430
K16028	ko01051 ko01052
K15966	ko01057
K02416	ko02030 ko02040
K12859	ko03040
K12373	ko00511 ko00513 ko00520 ko00531 ko00603 ko00604 ko04142
K02759	ko00500 ko02060
K13134	ko03013
K18051	ko04270 ko04750
K08439	ko04340
K00976	ko00051 ko00520
K06521	ko04360
K14206	ko04974
K05306	ko00440
K11955	ko02010
K06227	ko04341
K00780	ko00512 ko00533 ko00603 ko00604
K00442	ko00680
K11077	ko02010
K09461	ko00627
K00757	ko00240 ko00983
K14245	ko00998
K05851	ko00230 ko02026 ko05111
K01691	ko04310
K12765	ko04113
K20236	ko04392
K12470	ko04144
K13879	ko04970
K05254	ko04024 ko04080 ko04935
K20225	ko04013 ko05017
K10985	ko00052 ko02060
K16125	ko01054
K16866	ko05205 ko05206
K02552	ko00130 ko01053
